comment,author,date,num_likes
"대체 변신하는 씬은 왜 이렇게 고퀄인건데..<br>ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 뭔가 멋진데 구려<br>이런 마법소녀는 처음이야<a href=""UCg7rkxrTnIhiHEpXY1ec9NA/EmfRYZznIs2E8wTYsY_4CQ""></a>",@sleepground,2024-01-28T07:15:38Z,2817
"도대체 얼마나 구리면.. 이렇게까지 반응을 하시나요..<a href=""UCg7rkxrTnIhiHEpXY1ec9NA/v0o6X6L_KMOf-gOrwbGACw""></a><a href=""UCg7rkxrTnIhiHEpXY1ec9NA/v0o6X6L_KMOf-gOrwbGACw""></a>",@qckde1013,2024-01-28T07:15:48Z,30
ㅋㄹㅋㅎㅋ ???:어멋 이런 마법소녀는 네가 처음이야&gt;_&lt;,@user-ow2wl7ew3r,2024-01-28T07:15:48Z,19
ㅋㅋㅋ,@m0ng._o,2024-01-28T07:15:48Z,6
ㅋㅋ,@Yuchae_dream,2024-01-28T07:15:48Z,4
ㅋㅋㅋㅋ,@night_dream__,2024-01-28T07:15:53Z,2
라더는 이웃집좀빈가?,@user-vn1sw4pn3f,2024-04-19T08:24:22Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=2102"">35:02</a> 수이웃 언데드 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",@user-gq9tt4lm5y,2024-04-13T15:07:49Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1341"">22:21</a> 뜰림 변신,<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1648"">27:28</a> 라더님 변신, 이거 레인보우 버블젬 패러디죠? ㅋㅋㅋㅋㅋㅋ 알아본 사람은 👇👇",@user-gq9tt4lm5y,2024-04-13T13:06:02Z,1
이거시리즈물아니애요????,@user-xx8rz6gc6p,2024-04-13T05:07:51Z,0
이거....왜 시리즈물 아녜용?( ͒ ́ඉ .̫ ඉ ̀ ͒),@user-cw6do3jj7w,2024-04-13T03:21:34Z,0
47초<br>밤을 샜다는 말입니다<br>뜰님ㅎㅎ,@user-dy8rc3wy9p,2024-04-08T16:13:07Z,1
2탄 기원 11일차,@user-xm7vp9wb9o,2024-04-07T18:34:23Z,1
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1390"">23:10</a>  소녀 할때 다시 소녀..? 하는겤ㅋ",@user-nd5gi2vj5f,2024-04-07T15:59:52Z,1
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1338"">22:18</a>  진화된 대학생 버전",@user-nd5gi2vj5f,2024-04-07T15:58:21Z,1
2탄 기원 10일차,@user-xm7vp9wb9o,2024-04-06T20:31:52Z,0
아니 진짜 담편 나왔으면ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,@user-up9xv6yw1g,2024-04-06T01:59:00Z,0
다음화 는 언제 나와요? 진짜루 재미있어요ㅋㅋ,@user-dm9jx5fe9u,2024-04-05T12:34:09Z,0
2탄 기원 9일차,@user-xm7vp9wb9o,2024-04-05T10:01:44Z,0
다음화 또 보고싶어용 잠뜰님 잠뜰님채널 영상 거의 다 봤어여❤❤ 좋은하루 되세요,@user-zv1wg1cn6i,2024-04-04T09:21:22Z,0
2탄 기원 8일차,@user-xm7vp9wb9o,2024-04-03T14:01:28Z,0
2탄 기원 7일차,@user-xm7vp9wb9o,2024-04-01T14:45:26Z,0
이거 또 안나오나요?,@user-uh8jg3pq1w,2024-03-31T23:01:41Z,0
2탄 기원 6일차,@user-xm7vp9wb9o,2024-03-31T14:16:02Z,0
습... 영상 언제나오지..? 이렇게 꿀컨텐츠를 1번밖에 안써..??,@user-ki1zh5my4c,2024-03-31T12:06:19Z,1
2탄 기원 5일차,@user-xm7vp9wb9o,2024-03-30T14:01:35Z,0
현0님이,@user-cp7yd4ls6b,2024-03-30T11:02:06Z,1
제이름 이있내요😄,@user-cp7yd4ls6b,2024-03-30T11:00:42Z,1
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1949"">32:29</a> 라더님 ㅠㅜ 수이웃 언데드 나왔어 ㅠㅠㅠㅠㅠㅠ (오랜만에 정주행 가야지...!)",@user-cq7lx4cb6m,2024-03-30T00:12:44Z,2
2탄 기원 4일차,@user-xm7vp9wb9o,2024-03-29T14:11:30Z,0
2탄 기원 3일차,@user-xm7vp9wb9o,2024-03-28T14:02:18Z,0
